Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet,Name,VIP_1.0
27.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Nelly Carsoning,0.0
19.0,0.0,9.0,65.3834739744816,2823.0,0.0,Earth,Lerome Peckers,0.0
31.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Europa,Sabih Unhearfus,0.0
38.0,0.0,6652.0,-0.015479696721267332,181.0,585.0,Europa,Meratz Caltilter,0.0
20.0,10.0,0.0,-0.014787453658482356,0.0,0.0,Earth,Brence Harperez,0.0
31.0,0.0,1615.0,-0.01519298817715324,113.0,60.0,Earth,Karlen Ricks,0.0
21.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Europa,Aldah Ainserfle,0.0
20.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Europa,Acrabi Pringry,0.0
23.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Europa,Dhena Pringry,0.0
24.0,0.0,639.0,-0.015479696721267332,0.0,0.0,Earth,Eliana Delazarson,0.0
19.0,339.0,3.0,-0.015331436789710235,237.0,0.0,Earth,Vivia Rickson,0.0
45.0,932.0,74.0,-0.015479696721267332,7.0,1010.0,Europa,Antino Pinoffent,0.0
44.0,0.0,1561.0,-0.015479696721267332,14.0,224.0,Europa,Jihda Pinoffent,0.0
46.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Mars,Hamus Frité,0.0
21.0,0.0,0.0,-0.015479696721267332,1687.0,92.0,Earth,Neilda Powery,0.0
27.0,0.0,0.0,-0.015479696721267332,903.0,0.0,Earth,Glene Powery,0.0
20.0,2.0,12.0,-0.015203889642708909,457.0,690.0,Earth,Joanny Powery,0.0
44.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Europa,Winonon Prucerod,0.0
29.0,0.0,7708.0,-0.015214791108264578,569.0,343.0,Europa,Muons Prucerod,0.0
40.0,26.0,1925.0,-0.015470975548822796,3144.0,63.0,Europa,Berta Barnolderg,0.0
30.0,0.0,878.0,-0.015451352910822592,3.0,0.0,Earth,Tyle Deckerry,0.0
14.0,0.0,0.0,-0.015479696721267332,1609.0,0.0,Earth,Doria Flynney,0.0
31.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Europa,Algedia Viouster,0.0
27.0,0.0,6977.0,-0.015479696721267332,4.0,1235.0,Europa,Alteron Viouster,0.0
66.0,39.0,6452.0,-0.015479696721267332,1409.0,155.0,Europa,Winon Viouster,0.0
24.0,1784.0,8.0,-0.015460074083267127,18.0,0.0,Earth,Brence Frederry,0.0
19.0,293.0,3495.0,-0.009731353933763119,118.0,422.0,Europa,Gatrin Windend,0.0
36.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Janne Carvis,0.0
21.0,0.0,619.0,-0.015466614962600529,3.0,0.0,Earth,Fanna Ashipeck,0.0
18.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Elene Daughessey,0.0
26.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Monald Rushorney,0.0
19.0,598.0,0.0,-0.015446992324600325,0.0,0.0,Earth,Shally Jimes,0.0
48.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Verney Sullones,0.0
23.0,14.0,870.0,-0.015479696721267332,0.0,23.0,Earth,Wandy Llobsoney,0.0
24.0,483.0,0.0,-0.015384853970933011,214.0,0.0,Earth,Lilasa Barris,0.0
19.0,0.0,20.0,-0.015332526936265802,265.0,367.0,Earth,Meremy Jarvey,0.0
24.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Mars,Ors Cha,0.0
27.0,66.0,1736.0,-0.015479696721267332,0.0,15.0,Earth,Krisa Dukertyler,0.0
6.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Jaye Santantines,0.0
33.0,0.0,0.0,-0.015479696721267332,866.0,0.0,Earth,Terta Santantines,0.0
23.0,0.0,0.0,-0.014133365725142222,0.0,0.0,Earth,Toddie Benderez,0.0
30.0,1.0,0.0,-0.01375181443069381,0.0,484.0,Earth,Leenny Swanardy,0.0
26.0,0.0,17.0,-0.014392820605367142,0.0,0.0,Earth,Dary Cochrisons,0.0
1.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Mael Cochrisons,0.0
20.0,1.0,0.0,-0.015479696721267332,599.0,0.0,Earth,Alene Rochan,0.0
17.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Therly Puckenton,0.0
34.0,0.0,0.0,-0.015437181005600223,1.0,556.0,Earth,Tonald Wolferton,0.0
24.0,0.0,22.0,-0.015390304703710847,0.0,686.0,Earth,Megany Ewiseston,0.0
29.0,14.0,869.0,-0.015479696721267332,1.0,0.0,Earth,Troyce Moodmandez,0.0
20.0,1037.0,1.0,-0.015477516428156198,0.0,1576.0,Earth,Kendy Mayson,0.0
5.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Karay Camerrison,0.0
22.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Europa,Saiphda Fulatorly,0.0
16.0,3966.0,2872.0,-0.015479696721267332,0.0,2458.0,Europa,Hadira Fulatorly,0.0
7.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Catha Gilesonston,0.0
36.0,0.0,0.0,-0.014857223038038637,36.0,0.0,Earth,Vine Simstravery,0.0
26.0,46.0,315.0,-0.01296690891068565,0.0,97.0,Mars,Stech Potte,0.0
40.0,413.0,514.0,-0.015478606574711765,0.0,0.0,Earth,Rica Hammonton,0.0
29.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Jilley Harry,0.0
2.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Mars,Oakes Buth,0.0
23.0,378.0,402.0,-0.015479696721267332,0.0,509.0,Mars,Swafox Buth,0.0
0.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Mars,Gacke Buth,0.0
30.0,0.0,8853.0,-0.008821081559864765,29.0,3523.0,Europa,Alaton Unloweedic,0.0
56.0,0.0,44.0,-0.015454623350489293,723.0,0.0,Earth,Arlie Hodes,0.0
36.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Europa,Menkaa Slowatic,0.0
56.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Europa,Wasalm Slowatic,0.0
19.0,32.0,0.0,-0.014911730365816982,0.0,223.0,Earth,Wandy Meleon,0.0
39.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Earth,Dorah Brenney,0.0
38.0,2.0,26.0,-0.015318355031043432,1213.0,0.0,Mars,Ritars Harta,0.0
26.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Mars,Tures Upead,0.0
35.0,0.0,463.0,-0.015479696721267332,1502.0,585.0,Europa,Dabit Fulazy,0.0
26.0,832.0,0.0,-0.015479696721267332,21.0,136.0,Earth,Dawne Jacobbinson,0.0
31.0,0.0,0.0,-0.014711143399592674,0.0,0.0,Earth,Nelle Jacobbinson,0.0
38.0,0.0,3.0,-0.015479696721267332,756.0,0.0,Earth,Vanie Irwines,0.0
27.0,0.0,11.0,-0.015479696721267332,0.0,1172.0,Earth,Adamy Donson,0.0
30.0,0.0,0.0,-0.015479696721267332,0.0,0.0,Mars,Lix Ble,0.0
22.0,0.0,772.0,-0.015479696721267332,0.0,0.0,Earth,Essara Rocholton,0.0
